,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/GenCAT/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_0.gml,False,False,True,True,True,1.9700000000000009,748,213.0
datasets/GenCAT/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_1.gml,False,False,True,True,False,1.9200000000000008,464,304.0
datasets/GenCAT/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_2.gml,False,False,True,True,False,1.9000000000000008,881,585.0
datasets/GenCAT/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_3.gml,False,False,True,True,False,1.9600000000000009,1547,962.0
datasets/GenCAT/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_4.gml,False,False,False,False,False,1.8800000000000008,820,435.0
datasets/GenCAT/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_5.gml,False,False,True,True,False,1.8900000000000008,667,336.0
datasets/GenCAT/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_6.gml,False,False,True,True,False,2.060000000000001,289,75.0
datasets/GenCAT/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_complete.gml,False,False,False,False,False,1.9000000000000008,5416,3810.0
