,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/Amazon:Photo_n_0_m_0/2025-09-12 13:56:51.970983/gmls/Amazon:Photo_1.gml,False,False,True,True,False,4.500000000000003,1686,234.0
datasets/UnAtt/Amazon:Photo_n_0_m_0/2025-09-12 13:56:51.970983/gmls/Amazon:Photo_3.gml,False,False,True,True,False,4.680000000000003,915,131.0
datasets/UnAtt/Amazon:Photo_n_0_m_0/2025-09-12 13:56:51.970983/gmls/Amazon:Photo_4.gml,False,False,True,True,False,3.650000000000002,882,246.0
datasets/UnAtt/Amazon:Photo_n_0_m_0/2025-09-12 13:56:51.970983/gmls/Amazon:Photo_5.gml,False,False,True,True,False,3.940000000000002,823,167.0
datasets/UnAtt/Amazon:Photo_n_0_m_0/2025-09-12 13:56:51.970983/gmls/Amazon:Photo_6.gml,False,False,True,True,False,2.7800000000000016,1941,721.0
datasets/UnAtt/Amazon:Photo_n_0_m_0/2025-09-12 13:56:51.970983/gmls/Amazon:Photo_7.gml,False,False,False,True,False,4.130000000000003,331,40.0
datasets/UnAtt/Amazon:Photo_n_0_m_0/2025-09-12 13:56:51.970983/gmls/Amazon:Photo_complete.gml,False,False,False,False,False,3.110000000000002,7559,2221.0
