,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-13 03:45:35.425413/gmls/Amazon:Photo_0.gml,False,False,False,False,False,1.8100000000000007,1845,1705.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-13 03:45:35.425413/gmls/Amazon:Photo_1.gml,False,False,False,False,False,1.9000000000000008,8430,6713.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-13 03:45:35.425413/gmls/Amazon:Photo_2.gml,False,False,False,False,False,1.7400000000000007,3515,3192.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-13 03:45:35.425413/gmls/Amazon:Photo_3.gml,False,False,False,False,False,1.8400000000000007,4575,3852.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-13 03:45:35.425413/gmls/Amazon:Photo_4.gml,False,False,False,False,False,1.8000000000000007,4410,3885.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-13 03:45:35.425413/gmls/Amazon:Photo_5.gml,False,False,False,False,False,1.8100000000000007,4115,3561.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-13 03:45:35.425413/gmls/Amazon:Photo_6.gml,False,False,False,False,False,1.7000000000000006,9705,8997.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-13 03:45:35.425413/gmls/Amazon:Photo_7.gml,False,False,False,False,False,1.8600000000000008,1655,1427.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-13 03:45:35.425413/gmls/Amazon:Photo_complete.gml,False,False,False,False,False,1.7700000000000007,37990,34025.0
