,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/Amazon:Photo_n_2_m_2/2025-09-12 15:57:07.993785/gmls/Amazon:Photo_1.gml,False,False,False,False,False,1.5500000000000005,3372,2568.0
datasets/UnAtt/Amazon:Photo_n_2_m_2/2025-09-12 15:57:07.993785/gmls/Amazon:Photo_2.gml,False,False,False,False,False,1.3500000000000003,1406,1312.0
datasets/UnAtt/Amazon:Photo_n_2_m_2/2025-09-12 15:57:07.993785/gmls/Amazon:Photo_3.gml,False,False,False,False,False,1.3900000000000003,1830,1686.0
datasets/UnAtt/Amazon:Photo_n_2_m_2/2025-09-12 15:57:07.993785/gmls/Amazon:Photo_4.gml,False,False,False,False,False,1.4800000000000004,1764,1393.0
datasets/UnAtt/Amazon:Photo_n_2_m_2/2025-09-12 15:57:07.993785/gmls/Amazon:Photo_5.gml,False,False,False,False,False,2.950000000000002,1646,379.0
datasets/UnAtt/Amazon:Photo_n_2_m_2/2025-09-12 15:57:07.993785/gmls/Amazon:Photo_6.gml,False,False,False,False,False,1.3400000000000003,3882,3654.0
datasets/UnAtt/Amazon:Photo_n_2_m_2/2025-09-12 15:57:07.993785/gmls/Amazon:Photo_7.gml,False,False,False,False,False,3.0000000000000018,662,119.0
datasets/UnAtt/Amazon:Photo_n_2_m_2/2025-09-12 15:57:07.993785/gmls/Amazon:Photo_complete.gml,False,False,False,False,False,2.450000000000001,14446,3941.0
