,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-12 23:54:50.751564/gmls/Amazon:Photo_0.gml,False,False,False,False,False,1.8000000000000007,1845,1679.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-12 23:54:50.751564/gmls/Amazon:Photo_1.gml,False,False,False,False,False,1.9000000000000008,8430,6754.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-12 23:54:50.751564/gmls/Amazon:Photo_2.gml,False,False,False,False,False,1.7300000000000006,3515,3156.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-12 23:54:50.751564/gmls/Amazon:Photo_3.gml,False,False,False,False,False,1.8300000000000007,4575,3849.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-12 23:54:50.751564/gmls/Amazon:Photo_4.gml,False,False,False,False,False,1.8000000000000007,4410,3872.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-12 23:54:50.751564/gmls/Amazon:Photo_5.gml,False,False,False,False,False,1.8000000000000007,4115,3527.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-12 23:54:50.751564/gmls/Amazon:Photo_6.gml,False,False,False,False,False,1.7100000000000006,9705,8976.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-12 23:54:50.751564/gmls/Amazon:Photo_7.gml,False,False,False,False,False,1.8700000000000008,1655,1441.0
datasets/UnAtt/Amazon:Photo_n_5_m_5/2025-09-12 23:54:50.751564/gmls/Amazon:Photo_complete.gml,False,False,False,False,False,1.7700000000000007,37985,33968.0
