,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/Amazon:Photo_n_3_m_3/2025-09-12 18:13:20.120287/gmls/Amazon:Photo_0.gml,False,False,False,False,False,1.5200000000000005,1107,1032.0
datasets/UnAtt/Amazon:Photo_n_3_m_3/2025-09-12 18:13:20.120287/gmls/Amazon:Photo_1.gml,False,False,False,False,False,1.6400000000000006,5058,4135.0
datasets/UnAtt/Amazon:Photo_n_3_m_3/2025-09-12 18:13:20.120287/gmls/Amazon:Photo_2.gml,False,False,False,False,False,1.5400000000000005,2109,1864.0
datasets/UnAtt/Amazon:Photo_n_3_m_3/2025-09-12 18:13:20.120287/gmls/Amazon:Photo_3.gml,False,False,False,False,False,1.6000000000000005,2745,2310.0
datasets/UnAtt/Amazon:Photo_n_3_m_3/2025-09-12 18:13:20.120287/gmls/Amazon:Photo_4.gml,False,False,False,False,False,1.5900000000000005,2646,2324.0
datasets/UnAtt/Amazon:Photo_n_3_m_3/2025-09-12 18:13:20.120287/gmls/Amazon:Photo_5.gml,False,False,False,False,False,1.5800000000000005,2469,2122.0
datasets/UnAtt/Amazon:Photo_n_3_m_3/2025-09-12 18:13:20.120287/gmls/Amazon:Photo_6.gml,False,False,False,False,False,1.5200000000000005,5823,5235.0
datasets/UnAtt/Amazon:Photo_n_3_m_3/2025-09-12 18:13:20.120287/gmls/Amazon:Photo_7.gml,False,False,False,False,False,1.6300000000000006,993,859.0
datasets/UnAtt/Amazon:Photo_n_3_m_3/2025-09-12 18:13:20.120287/gmls/Amazon:Photo_complete.gml,False,False,False,False,False,1.5600000000000005,22344,20338.0
