,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_0.gml,False,False,True,True,False,3.7100000000000026,702,85.0
datasets/UnAtt/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_1.gml,False,False,True,True,False,3.0100000000000016,434,90.0
datasets/UnAtt/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_2.gml,False,False,True,True,False,3.3100000000000023,836,155.0
datasets/UnAtt/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_3.gml,False,False,True,True,False,3.5000000000000018,1636,235.0
datasets/UnAtt/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_4.gml,False,False,False,False,False,3.8700000000000028,852,88.0
datasets/UnAtt/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_5.gml,False,False,False,True,False,5.4600000000000035,596,39.0
datasets/UnAtt/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_6.gml,False,False,False,True,False,4.020000000000002,360,41.0
datasets/UnAtt/Planetoid:Cora_n_2_m_2/gmls/Planetoid:Cora_complete.gml,False,False,True,True,False,3.6400000000000023,4633,649.0
