,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/Planetoid:Cora_n_0_m_0/gmls/Planetoid:Cora_0.gml,False,False,True,True,False,3.070000000000002,351,110.0
datasets/UnAtt/Planetoid:Cora_n_0_m_0/gmls/Planetoid:Cora_1.gml,False,False,False,True,False,3.570000000000002,217,46.0
datasets/UnAtt/Planetoid:Cora_n_0_m_0/gmls/Planetoid:Cora_2.gml,False,False,True,True,False,4.100000000000002,418,68.0
datasets/UnAtt/Planetoid:Cora_n_0_m_0/gmls/Planetoid:Cora_3.gml,False,False,True,True,False,3.570000000000002,818,145.0
datasets/UnAtt/Planetoid:Cora_n_0_m_0/gmls/Planetoid:Cora_4.gml,False,False,False,False,False,3.860000000000002,426,96.0
datasets/UnAtt/Planetoid:Cora_n_0_m_0/gmls/Planetoid:Cora_5.gml,False,False,False,True,False,4.840000000000003,298,35.0
datasets/UnAtt/Planetoid:Cora_n_0_m_0/gmls/Planetoid:Cora_6.gml,False,False,True,True,True,3.330000000000002,180,50.0
datasets/UnAtt/Planetoid:Cora_n_0_m_0/gmls/Planetoid:Cora_complete.gml,False,False,False,False,True,3.7500000000000027,2503,402.0
