,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/Planetoid:Cora_n_3_m_3/gmls/Planetoid:Cora_0.gml,False,False,True,True,False,3.490000000000002,1053,72.0
datasets/UnAtt/Planetoid:Cora_n_3_m_3/gmls/Planetoid:Cora_1.gml,False,False,True,True,False,3.3900000000000023,651,65.0
datasets/UnAtt/Planetoid:Cora_n_3_m_3/gmls/Planetoid:Cora_2.gml,False,False,True,True,False,3.5900000000000025,1254,110.0
datasets/UnAtt/Planetoid:Cora_n_3_m_3/gmls/Planetoid:Cora_3.gml,False,False,True,True,True,3.4700000000000024,2454,246.0
datasets/UnAtt/Planetoid:Cora_n_3_m_3/gmls/Planetoid:Cora_4.gml,False,False,True,True,False,3.8800000000000026,1278,76.0
datasets/UnAtt/Planetoid:Cora_n_3_m_3/gmls/Planetoid:Cora_5.gml,False,False,False,True,False,4.450000000000003,894,37.0
datasets/UnAtt/Planetoid:Cora_n_3_m_3/gmls/Planetoid:Cora_6.gml,False,False,False,False,False,3.200000000000002,540,77.0
datasets/UnAtt/Planetoid:Cora_n_3_m_3/gmls/Planetoid:Cora_complete.gml,False,False,True,True,True,3.6300000000000026,2538,511.0
