,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/Planetoid:Cora_n_5_m_5/gmls/Planetoid:Cora_0.gml,False,False,True,True,False,3.120000000000002,1755,107.0
datasets/UnAtt/Planetoid:Cora_n_5_m_5/gmls/Planetoid:Cora_1.gml,False,False,True,True,False,3.290000000000002,1085,77.0
datasets/UnAtt/Planetoid:Cora_n_5_m_5/gmls/Planetoid:Cora_2.gml,False,False,True,True,False,3.450000000000002,2090,125.0
datasets/UnAtt/Planetoid:Cora_n_5_m_5/gmls/Planetoid:Cora_3.gml,False,False,False,False,False,3.5200000000000022,4090,210.0
datasets/UnAtt/Planetoid:Cora_n_5_m_5/gmls/Planetoid:Cora_4.gml,False,False,True,True,False,4.610000000000003,2130,52.0
datasets/UnAtt/Planetoid:Cora_n_5_m_5/gmls/Planetoid:Cora_5.gml,False,False,True,True,False,3.820000000000002,1490,83.0
datasets/UnAtt/Planetoid:Cora_n_5_m_5/gmls/Planetoid:Cora_6.gml,False,False,True,True,False,3.900000000000002,900,58.0
datasets/UnAtt/Planetoid:Cora_n_5_m_5/gmls/Planetoid:Cora_complete.gml,False,False,True,True,False,3.5200000000000022,2547,613.0
