,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/Planetoid:Cora_n_3_m_3/2025-09-10 13:50:14.289356/gmls/Planetoid:Cora_0.gml,False,False,True,True,True,3.660000000000002,1053,81.0
datasets/UnAtt/Planetoid:Cora_n_3_m_3/2025-09-10 13:50:14.289356/gmls/Planetoid:Cora_1.gml,False,False,True,True,True,3.330000000000002,651,89.0
datasets/UnAtt/Planetoid:Cora_n_3_m_3/2025-09-10 13:50:14.289356/gmls/Planetoid:Cora_2.gml,False,False,True,True,False,3.7600000000000025,1254,99.0
datasets/UnAtt/Planetoid:Cora_n_3_m_3/2025-09-10 13:50:14.289356/gmls/Planetoid:Cora_3.gml,False,False,False,False,False,3.780000000000002,2454,201.0
datasets/UnAtt/Planetoid:Cora_n_3_m_3/2025-09-10 13:50:14.289356/gmls/Planetoid:Cora_4.gml,False,False,False,True,False,4.680000000000003,1278,40.0
datasets/UnAtt/Planetoid:Cora_n_3_m_3/2025-09-10 13:50:14.289356/gmls/Planetoid:Cora_5.gml,False,False,True,True,False,4.370000000000003,894,79.0
datasets/UnAtt/Planetoid:Cora_n_3_m_3/2025-09-10 13:50:14.289356/gmls/Planetoid:Cora_6.gml,False,False,False,True,False,4.080000000000003,540,42.0
datasets/UnAtt/Planetoid:Cora_n_3_m_3/2025-09-10 13:50:14.289356/gmls/Planetoid:Cora_complete.gml,False,False,False,False,False,3.8700000000000028,7039,447.0
