,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/SkyMap/Planetoid:Cora_n_3_m_3/gmls/Planetoid:Cora_0.gml,False,False,False,False,False,4.540000000000003,6515,457.0
datasets/SkyMap/Planetoid:Cora_n_3_m_3/gmls/Planetoid:Cora_1.gml,False,False,True,True,False,5.010000000000003,6104,158.0
datasets/SkyMap/Planetoid:Cora_n_3_m_3/gmls/Planetoid:Cora_2.gml,False,False,True,True,False,5.020000000000003,5534,260.0
datasets/SkyMap/Planetoid:Cora_n_3_m_3/gmls/Planetoid:Cora_complete.gml,False,False,True,True,False,4.900000000000003,40454,1265.0
