,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_2_m_2/2025-09-11 08:01:27.733243/gmls/AttributedGraphDataset:BlogCatalog_0.gml,False,False,True,True,False,2.7200000000000015,1770,523.0
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_2_m_2/2025-09-11 08:01:27.733243/gmls/AttributedGraphDataset:BlogCatalog_1.gml,False,False,False,False,False,1.5900000000000005,1554,1186.0
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_2_m_2/2025-09-11 08:01:27.733243/gmls/AttributedGraphDataset:BlogCatalog_2.gml,False,False,False,False,False,1.8900000000000008,1842,856.0
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_2_m_2/2025-09-11 08:01:27.733243/gmls/AttributedGraphDataset:BlogCatalog_3.gml,False,False,False,False,False,2.9200000000000017,1716,331.0
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_2_m_2/2025-09-11 08:01:27.733243/gmls/AttributedGraphDataset:BlogCatalog_4.gml,False,False,True,True,False,1.9400000000000008,1784,825.0
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_2_m_2/2025-09-11 08:01:27.733243/gmls/AttributedGraphDataset:BlogCatalog_5.gml,False,False,False,False,False,2.6600000000000015,1726,387.0
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_2_m_2/2025-09-11 08:01:27.733243/gmls/AttributedGraphDataset:BlogCatalog_complete.gml,False,False,False,False,False,1.4200000000000004,10230,9640.0
