,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-11 06:44:07.597883/gmls/AttributedGraphDataset:BlogCatalog_0.gml,False,False,False,False,False,3.2500000000000018,885,342.0
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-11 06:44:07.597883/gmls/AttributedGraphDataset:BlogCatalog_1.gml,False,False,False,False,False,3.2600000000000016,777,186.0
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-11 06:44:07.597883/gmls/AttributedGraphDataset:BlogCatalog_3.gml,False,False,False,False,False,3.230000000000002,858,261.0
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-11 06:44:07.597883/gmls/AttributedGraphDataset:BlogCatalog_5.gml,False,False,False,False,False,3.6700000000000026,863,179.0
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-11 06:44:07.597883/gmls/AttributedGraphDataset:BlogCatalog_complete.gml,False,False,False,False,False,2.320000000000001,5191,3270.0
