,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-11 06:33:20.306816/gmls/AttributedGraphDataset:BlogCatalog_0.gml,False,False,False,False,False,3.3100000000000023,885,347.0
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-11 06:33:20.306816/gmls/AttributedGraphDataset:BlogCatalog_1.gml,False,False,False,False,False,3.480000000000002,777,163.0
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-11 06:33:20.306816/gmls/AttributedGraphDataset:BlogCatalog_3.gml,False,False,True,True,False,4.320000000000003,858,132.0
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-11 06:33:20.306816/gmls/AttributedGraphDataset:BlogCatalog_5.gml,False,False,False,False,False,3.030000000000002,863,283.0
datasets/UnAtt/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-11 06:33:20.306816/gmls/AttributedGraphDataset:BlogCatalog_complete.gml,False,False,False,False,False,2.3100000000000014,5187,3360.0
