,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-10 17:55:07.642352/gmls/AttributedGraphDataset:BlogCatalog_0.gml,False,False,False,False,False,3.3100000000000023,925,238.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-10 17:55:07.642352/gmls/AttributedGraphDataset:BlogCatalog_1.gml,False,False,False,False,False,2.410000000000001,790,381.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-10 17:55:07.642352/gmls/AttributedGraphDataset:BlogCatalog_2.gml,False,False,False,False,False,3.5000000000000018,934,168.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-10 17:55:07.642352/gmls/AttributedGraphDataset:BlogCatalog_3.gml,False,False,False,False,False,3.110000000000002,826,146.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-10 17:55:07.642352/gmls/AttributedGraphDataset:BlogCatalog_4.gml,False,False,False,False,False,3.620000000000002,893,163.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-10 17:55:07.642352/gmls/AttributedGraphDataset:BlogCatalog_5.gml,False,False,True,True,False,3.4700000000000024,828,162.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_0_m_0/2025-09-10 17:55:07.642352/gmls/AttributedGraphDataset:BlogCatalog_complete.gml,False,False,False,False,False,1.4500000000000004,5196,5195.0
