,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_2_m_2/2025-09-10 20:12:02.920444/gmls/AttributedGraphDataset:BlogCatalog_1.gml,False,False,False,False,False,1.4400000000000004,1549,1154.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_2_m_2/2025-09-10 20:12:02.920444/gmls/AttributedGraphDataset:BlogCatalog_2.gml,False,False,False,False,False,1.5000000000000004,1862,897.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_2_m_2/2025-09-10 20:12:02.920444/gmls/AttributedGraphDataset:BlogCatalog_3.gml,False,False,False,False,False,1.3700000000000003,1667,1350.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_2_m_2/2025-09-10 20:12:02.920444/gmls/AttributedGraphDataset:BlogCatalog_4.gml,False,False,False,False,False,1.8400000000000007,1814,495.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_2_m_2/2025-09-10 20:12:02.920444/gmls/AttributedGraphDataset:BlogCatalog_5.gml,False,False,False,False,False,1.5200000000000005,1715,885.0
