,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_3_m_3/2025-09-11 00:28:29.519790/gmls/AttributedGraphDataset:BlogCatalog_0.gml,False,False,False,False,False,1.4200000000000004,2695,1974.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_3_m_3/2025-09-11 00:28:29.519790/gmls/AttributedGraphDataset:BlogCatalog_1.gml,False,False,False,False,False,1.4600000000000004,2289,1474.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_3_m_3/2025-09-11 00:28:29.519790/gmls/AttributedGraphDataset:BlogCatalog_2.gml,False,False,False,False,False,1.5600000000000005,2698,1184.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_3_m_3/2025-09-11 00:28:29.519790/gmls/AttributedGraphDataset:BlogCatalog_3.gml,False,False,False,False,False,1.8500000000000008,2529,613.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_3_m_3/2025-09-11 00:28:29.519790/gmls/AttributedGraphDataset:BlogCatalog_4.gml,False,False,False,False,False,1.6000000000000005,2748,1144.0
