,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_3_m_3/2025-09-10 23:45:37.673872/gmls/AttributedGraphDataset:BlogCatalog_1.gml,False,False,False,False,False,1.3500000000000003,2392,2041.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_3_m_3/2025-09-10 23:45:37.673872/gmls/AttributedGraphDataset:BlogCatalog_2.gml,False,False,False,False,False,1.6000000000000005,2754,1065.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_3_m_3/2025-09-10 23:45:37.673872/gmls/AttributedGraphDataset:BlogCatalog_3.gml,False,False,False,False,False,1.4100000000000004,2577,1682.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_3_m_3/2025-09-10 23:45:37.673872/gmls/AttributedGraphDataset:BlogCatalog_4.gml,False,False,False,False,False,1.4400000000000004,2648,1990.0
datasets/GenCAT/AttributedGraphDataset:BlogCatalog_n_3_m_3/2025-09-10 23:45:37.673872/gmls/AttributedGraphDataset:BlogCatalog_5.gml,False,False,False,False,False,1.4500000000000004,2557,1701.0
