,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/Planetoid:CiteSeer_n_0_m_0/2025-09-13 06:52:15.575070/gmls/Planetoid:CiteSeer_2.gml,False,False,True,True,True,3.440000000000002,668,113.0
datasets/UnAtt/Planetoid:CiteSeer_n_0_m_0/2025-09-13 06:52:15.575070/gmls/Planetoid:CiteSeer_4.gml,False,False,True,True,False,3.650000000000002,596,132.0
datasets/UnAtt/Planetoid:CiteSeer_n_0_m_0/2025-09-13 06:52:15.575070/gmls/Planetoid:CiteSeer_complete.gml,False,False,True,True,True,3.9300000000000024,2771,182.0
