,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/UnAtt/Planetoid:CiteSeer_n_0_m_0/2025-09-13 06:51:05.068838/gmls/Planetoid:CiteSeer_2.gml,False,False,False,False,False,2.7300000000000013,668,191.0
datasets/UnAtt/Planetoid:CiteSeer_n_0_m_0/2025-09-13 06:51:05.068838/gmls/Planetoid:CiteSeer_4.gml,False,False,False,True,False,3.780000000000002,596,26.0
datasets/UnAtt/Planetoid:CiteSeer_n_0_m_0/2025-09-13 06:51:05.068838/gmls/Planetoid:CiteSeer_complete.gml,False,False,True,True,False,3.5200000000000022,2823,358.0
