,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/GenCAT/Amazon:Photo_n_0_m_0/2025-09-11 20:17:54.071567/gmls/Amazon:Photo_1.gml,False,False,False,False,False,3.0200000000000014,1569,476.0
datasets/GenCAT/Amazon:Photo_n_0_m_0/2025-09-11 20:17:54.071567/gmls/Amazon:Photo_3.gml,False,False,True,True,False,3.0100000000000016,886,209.0
datasets/GenCAT/Amazon:Photo_n_0_m_0/2025-09-11 20:17:54.071567/gmls/Amazon:Photo_4.gml,False,False,True,True,False,3.2700000000000022,900,196.0
datasets/GenCAT/Amazon:Photo_n_0_m_0/2025-09-11 20:17:54.071567/gmls/Amazon:Photo_5.gml,False,False,True,True,False,3.2500000000000018,811,245.0
datasets/GenCAT/Amazon:Photo_n_0_m_0/2025-09-11 20:17:54.071567/gmls/Amazon:Photo_6.gml,False,False,True,True,True,3.0100000000000016,1913,619.0
datasets/GenCAT/Amazon:Photo_n_0_m_0/2025-09-11 20:17:54.071567/gmls/Amazon:Photo_7.gml,False,False,True,True,False,3.7200000000000024,339,83.0
datasets/GenCAT/Amazon:Photo_n_0_m_0/2025-09-11 20:17:54.071567/gmls/Amazon:Photo_complete.gml,False,False,True,True,False,3.0500000000000016,7487,2357.0
