,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/GenCAT/Amazon:Photo_n_0_m_0/2025-09-11 20:25:27.508677/gmls/Amazon:Photo_1.gml,False,False,True,True,False,3.0900000000000016,1631,532.0
datasets/GenCAT/Amazon:Photo_n_0_m_0/2025-09-11 20:25:27.508677/gmls/Amazon:Photo_3.gml,False,False,True,True,False,3.280000000000002,874,177.0
datasets/GenCAT/Amazon:Photo_n_0_m_0/2025-09-11 20:25:27.508677/gmls/Amazon:Photo_4.gml,False,False,True,True,False,3.360000000000002,877,245.0
datasets/GenCAT/Amazon:Photo_n_0_m_0/2025-09-11 20:25:27.508677/gmls/Amazon:Photo_6.gml,False,False,True,True,False,3.0600000000000014,1944,603.0
datasets/GenCAT/Amazon:Photo_n_0_m_0/2025-09-11 20:25:27.508677/gmls/Amazon:Photo_7.gml,False,False,True,True,False,3.450000000000002,337,68.0
datasets/GenCAT/Amazon:Photo_n_0_m_0/2025-09-11 20:25:27.508677/gmls/Amazon:Photo_complete.gml,False,False,True,True,False,3.0500000000000016,7487,2371.0
