,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/GenCAT/Amazon:Photo_n_2_m_2/2025-09-11 22:39:10.128961/gmls/Amazon:Photo_0.gml,False,False,False,False,False,1.9600000000000009,746,652.0
datasets/GenCAT/Amazon:Photo_n_2_m_2/2025-09-11 22:39:10.128961/gmls/Amazon:Photo_1.gml,False,False,False,False,False,1.7500000000000007,3344,928.0
datasets/GenCAT/Amazon:Photo_n_2_m_2/2025-09-11 22:39:10.128961/gmls/Amazon:Photo_2.gml,False,False,False,False,False,1.9200000000000008,1378,494.0
datasets/GenCAT/Amazon:Photo_n_2_m_2/2025-09-11 22:39:10.128961/gmls/Amazon:Photo_3.gml,False,False,False,False,False,1.9000000000000008,1870,252.0
datasets/GenCAT/Amazon:Photo_n_2_m_2/2025-09-11 22:39:10.128961/gmls/Amazon:Photo_4.gml,False,False,True,True,False,1.9600000000000009,1758,339.0
datasets/GenCAT/Amazon:Photo_n_2_m_2/2025-09-11 22:39:10.128961/gmls/Amazon:Photo_5.gml,False,False,False,False,False,1.9100000000000008,1692,574.0
datasets/GenCAT/Amazon:Photo_n_2_m_2/2025-09-11 22:39:10.128961/gmls/Amazon:Photo_6.gml,False,False,False,False,False,1.6200000000000006,3869,2434.0
datasets/GenCAT/Amazon:Photo_n_2_m_2/2025-09-11 22:39:10.128961/gmls/Amazon:Photo_7.gml,False,False,False,False,True,2.120000000000001,643,611.0
datasets/GenCAT/Amazon:Photo_n_2_m_2/2025-09-11 22:39:10.128961/gmls/Amazon:Photo_complete.gml,False,False,False,False,False,1.5500000000000005,15300,12522.0
