,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 04:35:22.378367/gmls/Amazon:Photo_0.gml,False,False,False,False,True,1.9800000000000009,1144,255.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 04:35:22.378367/gmls/Amazon:Photo_1.gml,False,False,False,False,False,1.8700000000000008,4978,1110.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 04:35:22.378367/gmls/Amazon:Photo_2.gml,False,False,False,False,False,1.9000000000000008,2126,996.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 04:35:22.378367/gmls/Amazon:Photo_3.gml,False,False,False,False,False,1.8000000000000007,2760,1058.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 04:35:22.378367/gmls/Amazon:Photo_4.gml,False,False,False,False,False,1.5400000000000005,2675,1996.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 04:35:22.378367/gmls/Amazon:Photo_5.gml,False,False,False,False,False,1.9000000000000008,2462,666.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 04:35:22.378367/gmls/Amazon:Photo_6.gml,False,False,False,False,False,1.7600000000000007,5823,1524.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 04:35:22.378367/gmls/Amazon:Photo_7.gml,False,False,False,False,True,1.8200000000000007,982,743.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 04:35:22.378367/gmls/Amazon:Photo_complete.gml,False,False,False,False,False,1.5500000000000005,22950,18925.0
