,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 03:21:42.544515/gmls/Amazon:Photo_0.gml,False,False,False,False,False,1.6900000000000006,1067,1033.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 03:21:42.544515/gmls/Amazon:Photo_1.gml,False,False,False,False,False,1.8600000000000008,5164,856.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 03:21:42.544515/gmls/Amazon:Photo_2.gml,False,False,False,False,False,1.8900000000000008,2064,1034.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 03:21:42.544515/gmls/Amazon:Photo_3.gml,False,False,False,False,False,1.7000000000000006,2864,1673.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 03:21:42.544515/gmls/Amazon:Photo_4.gml,False,False,False,False,False,1.8600000000000008,2632,434.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 03:21:42.544515/gmls/Amazon:Photo_5.gml,False,False,False,False,False,1.8800000000000008,2403,790.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 03:21:42.544515/gmls/Amazon:Photo_6.gml,False,False,False,False,False,1.7600000000000007,5784,1799.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 03:21:42.544515/gmls/Amazon:Photo_7.gml,False,False,False,False,False,1.8500000000000008,972,115.0
datasets/GenCAT/Amazon:Photo_n_3_m_3/2025-09-12 03:21:42.544515/gmls/Amazon:Photo_complete.gml,False,False,False,False,False,1.5500000000000005,22950,18845.0
