,Strongest,Strong,Weak,Weakest,Super_Weak,median_alpha,n,median_ntail
datasets/GenCAT/Amazon:Photo_n_5_m_5/2025-09-12 06:57:04.215088/gmls/Amazon:Photo_0.gml,False,False,False,False,False,2.000000000000001,1946,563.0
datasets/GenCAT/Amazon:Photo_n_5_m_5/2025-09-12 06:57:04.215088/gmls/Amazon:Photo_1.gml,False,False,False,False,False,1.5700000000000005,8298,6564.0
datasets/GenCAT/Amazon:Photo_n_5_m_5/2025-09-12 06:57:04.215088/gmls/Amazon:Photo_2.gml,False,False,False,False,False,1.7700000000000007,3541,1650.0
datasets/GenCAT/Amazon:Photo_n_5_m_5/2025-09-12 06:57:04.215088/gmls/Amazon:Photo_3.gml,False,False,False,False,False,1.8600000000000008,4553,847.0
datasets/GenCAT/Amazon:Photo_n_5_m_5/2025-09-12 06:57:04.215088/gmls/Amazon:Photo_4.gml,False,False,False,False,False,1.8500000000000008,4433,904.0
datasets/GenCAT/Amazon:Photo_n_5_m_5/2025-09-12 06:57:04.215088/gmls/Amazon:Photo_5.gml,False,False,False,False,False,1.8500000000000008,4073,989.0
datasets/GenCAT/Amazon:Photo_n_5_m_5/2025-09-12 06:57:04.215088/gmls/Amazon:Photo_6.gml,False,False,False,False,False,1.5600000000000005,9766,7377.0
datasets/GenCAT/Amazon:Photo_n_5_m_5/2025-09-12 06:57:04.215088/gmls/Amazon:Photo_7.gml,False,False,False,False,False,1.9200000000000008,1640,390.0
datasets/GenCAT/Amazon:Photo_n_5_m_5/2025-09-12 06:57:04.215088/gmls/Amazon:Photo_complete.gml,False,False,False,False,False,1.5300000000000005,38250,31743.0
